% Model,angle sweep a=44 opt=40 correctaccel (+).mph
% Version,COMSOL 5.0.1.276
% Date,"Dec 4 2018, 13:24"
% Dimension,2
% Nodes,1239
% Expressions,3
% Description,"Electric field, z component, Magnetic field, x component, Magnetic field, y component"
% Length unit,m
% x,y,emw.Ez (V/m) @ freq=4.2103E9,emw.Hx (A/m) @ freq=4.2103E9,emw.Hy (A/m) @ freq=4.2103E9
-0.8812868397269156,-0.17801029256553458,0.277398511027523+0.08058900998325674i,-2.0111470068658467E-4+0.001113240743087841i,-8.313466975947422E-4+7.590215564454536E-4i
-0.8812868397269156,-0.182574659041571,0.16387462138238526-0.005022925405247356i,-0.001171151254097696-1.1124679723871793E-4i,-1.0803458669164645E-4-0.002357827188969765i
-0.8812868397269156,-0.1734459260894953,0.3938326815117443+0.07791548296068906i,1.267436369714794E-4+8.538770752239483E-4i,-0.0014805726918750155+8.602941453336233E-5i
-0.8812868397269156,-0.168881559613456,0.5122806342733995+0.04419805951171314i,2.7842400658130006E-4+7.221730355859699E-4i,-0.0018762832828700705-4.5706740582306335E-5i
-0.8812868397269156,-0.1643171931374167,0.6093339364410999+0.0011458505200403735i,2.7747241369818114E-4+5.595513573222131E-4i,-0.0022495845792111463-8.373871219053722E-5i
-0.8812868397269156,-0.1597528266613774,0.6815599505286853-0.03341025195662119i,1.7490213630002308E-4+4.00934154246982E-4i,-0.002618971947454777-7.238282111323104E-5i
-0.8812868397269156,-0.1551884601853381,0.7344225570821854-0.04848394118537813i,2.6797069537923198E-5+3.043014679466135E-4i,-0.002987717168902243-3.874183973835135E-5i
-0.8812868397269156,-0.1506240937092988,0.7803176177968094-0.04186416643048343i,-1.0717664491174985E-4+3.065745293468478E-4i,-0.003361736764401293-6.44413306692977E-7i
-0.8812868397269156,-0.1460597272332595,0.8346965068246797-0.019358959214172203i,-1.8092559974501908E-4+4.132233459691018E-4i,-0.003750030727771725+3.0351051398621593E-5i
-0.8812868397269156,-0.14149536075722022,0.9113160115436252+0.00831223587085093i,-1.7528558184599734E-4+5.975079494179132E-4i,-0.004162643822787596+4.836653289091891E-5i
